tag,status,note
GIN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
GMB,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
GNB,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
GNQ,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
GRC,claims_added,See historical_claims.csv
GTM,claims_added,See historical_claims.csv
GYN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
HND,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
HRV,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
HTI,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
HUN,claims_added,See historical_claims.csv
IDN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
IN1,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
IRL,claims_added,See historical_claims.csv
IRN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
IRQ,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
IS1,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ISR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ITA,claims_added,See historical_claims.csv
JMC,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
JOR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
JPN,claims_added,See historical_claims.csv
KEN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
KGZ,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
KIR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
KNA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
KWT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
KZK,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LAO,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LAT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LBN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LBR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LBY,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LCA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LKA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LSO,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LTU,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
LUX,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MDG,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MDV,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MEX,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MGL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MHL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MKD,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ML1,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MLD,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MLT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MLY,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MMR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MOZ,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MRC,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MRT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
MUS,claims_added,See historical_claims.csv
MWI,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NAM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NER,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NGR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NIC,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NKR,claims_added,See historical_claims.csv
NLD,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NOR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NPL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NRU,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
NZE,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
OMN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
P01,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
PAK,claims_added,See historical_claims.csv
PGY,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
PHL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
PNG,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
PNM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
POL,claims_added,See historical_claims.csv
PRT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
PSE,claims_added,See historical_claims.csv
QAT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ROU,claims_added,See historical_claims.csv
RUS,claims_added,See historical_claims.csv
RWA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SAF,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SAU,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SDN,claims_added,See historical_claims.csv
SGP,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SKR,claims_added,See historical_claims.csv
SLB,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SLR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SLV,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SNG,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SOM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
STP,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SUR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SVK,claims_added,See historical_claims.csv
SVN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SWE,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SWZ,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SYC,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
SYR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TCD,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TGO,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
THA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TJK,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TKM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TNS,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TO1,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TTO,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TU1,claims_added,See historical_claims.csv
TUV,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TWN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
TZA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
UGA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
UKG,claims_added,See historical_claims.csv
UKN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
URY,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
USA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
UZB,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
VAT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
VCT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
VE1,claims_added,See historical_claims.csv
VNM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
VUT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
WSM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
YEM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
YUG,claims_added,See historical_claims.csv
ZMB,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ZWE,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
