event_id,tag,date,title,description,historical_leader,historical_birth,historical_party,historical_adm,historical_dip,historical_mil,historical_option,alternate_leader,alternate_birth,alternate_party,alternate_adm,alternate_dip,alternate_mil,alternate_option,source,verification_notes
11,ITA,2001.6.11,The Italian General Election,A new parliamentary majority is ready to form Italy's government.,Silvio Berlusconi,1936.9.29,House of Freedoms,4,4,3,Form the Berlusconi government,Francesco Rutelli,1954.6.14,The Olive Tree,4,4,2,Form a Rutelli government,manual:italy-election-2001,Historical government formation with opposition alternative.
12,POL,2001.10.19,The Polish Parliamentary Transition,The election has shifted the parliamentary balance and created a new governing majority.,Leszek Miller,1946.7.3,Democratic Left Alliance,4,4,2,Form the Miller government,Jerzy Buzek,1940.7.3,Solidarity Electoral Action,4,4,2,Preserve the Buzek government,manual:poland-government-2001,Historical transition date; alternate path is continuity.
13,POR,2002.4.6,The Portuguese Change of Government,The parliamentary election has produced a choice between a center-right cabinet and continued Socialist government.,Jose Manuel Barroso,1956.3.23,Social Democratic Party,4,4,2,Form the Barroso government,Eduardo Ferro Rodrigues,1949.11.3,Socialist Party,4,4,2,Keep the Socialists in office,manual:portugal-government-2002,Historical transition date with opposition alternative.
14,NED,2002.7.22,The Dutch Coalition Settlement,Fragmented election results require the formation of a new coalition government.,Jan Peter Balkenende,1956.5.7,Christian Democratic Appeal,4,4,2,Form the Balkenende cabinet,Ad Melkert,1956.2.12,Labour Party,4,4,2,Build a Labour-led coalition,manual:netherlands-government-2002,Historical cabinet formation with opposition alternative.
15,CHN,2002.11.15,The Fourth Generation of Chinese Leadership,The Sixteenth Party Congress has prepared a transfer of senior party authority to a new generation.,Hu Jintao,1942.12.21,Chinese Communist Party,5,4,3,Transfer authority to Hu Jintao,Jiang Zemin,1926.8.17,Chinese Communist Party,5,4,3,Extend Jiang Zemin's leadership,https://www.china.org.cn/english/China/48946.htm,Xinhua report confirms Hu's election as General Secretary on 15 November.
16,CRO,2003.12.23,The Sanader Government,Croatia's election has produced a new parliamentary majority and another test of democratic succession.,Ivo Sanader,1953.6.8,Croatian Democratic Union,4,4,2,Form the Sanader government,Ivica Racan,1944.2.24,Social Democratic Party,4,4,2,Return the Racan coalition,manual:croatia-government-2003,Historical transition date with incumbent alternative.
17,GEO,2004.1.25,Georgia's Rose Revolution,The collapse of the previous political order has created a mandate for sweeping institutional reform.,Mikheil Saakashvili,1967.12.21,United National Movement,4,5,3,Inaugurate Mikheil Saakashvili,Nino Burjanadze,1964.7.16,Democrats,4,4,2,Entrust the transition to Nino Burjanadze,manual:georgia-inauguration-2004,Historical inauguration with transitional alternative.
18,GRE,2004.3.10,The Greek Parliamentary Transition,The election has ended a long period of PASOK government and produced a new majority.,Kostas Karamanlis,1956.9.14,New Democracy,4,4,2,Form the Karamanlis government,George Papandreou,1952.6.16,PASOK,4,5,2,Renew the PASOK mandate,manual:greece-government-2004,Historical transition date with opposition alternative.
19,SPA,2004.4.17,The Spanish Change of Government,The general election has shifted the parliamentary majority amid an intense national security debate.,Jose Luis Rodriguez Zapatero,1960.8.4,Spanish Socialist Workers' Party,4,4,2,Form the Zapatero government,Mariano Rajoy,1955.3.27,People's Party,4,4,2,Form a Rajoy government,manual:spain-government-2004,Historical transition date with principal opponent.
20,INI,2004.5.22,The Indian General Election,A coalition assembled after the general election must choose the next prime minister of India.,Manmohan Singh,1932.9.26,Indian National Congress,6,5,2,Form the Singh government,Atal Bihari Vajpayee,1924.12.25,Bharatiya Janata Party,4,4,3,Renew Vajpayee's mandate,manual:india-government-2004,Historical transition date with incumbent alternative.
21,POR,2004.7.17,The Portuguese Succession,The departure of the prime minister requires the governing majority to select a successor.,Pedro Santana Lopes,1956.6.29,Social Democratic Party,3,3,2,Form the Santana Lopes government,Jose Socrates,1957.9.6,Socialist Party,4,4,2,Call an early Socialist government,manual:portugal-government-2004,Historical succession with opposition alternative.
22,UKR,2005.1.23,Ukraine's Orange Revolution,A disputed election and mass demonstrations have forced a decisive test of Ukraine's political direction.,Viktor Yushchenko,1954.2.23,Our Ukraine,4,5,2,Inaugurate Viktor Yushchenko,Viktor Yanukovych,1950.7.9,Party of Regions,3,3,3,Confirm Viktor Yanukovych,manual:ukraine-inauguration-2005,Historical inauguration with principal opponent.
23,POR,2005.3.12,The Portuguese Socialist Majority,The election has produced a clear parliamentary majority after a period of unstable government.,Jose Socrates,1957.9.6,Socialist Party,4,4,2,Form the Socrates government,Pedro Santana Lopes,1956.6.29,Social Democratic Party,3,3,2,Renew Santana Lopes's mandate,manual:portugal-government-2005,Historical transition date with incumbent alternative.
24,GER,2005.11.22,The German Grand Coalition,The federal election has produced a narrow result and difficult negotiations over the chancellorship.,Angela Merkel,1954.7.17,Christian Democratic Union,5,4,3,Form the Merkel government,Gerhard Schroder,1944.4.7,Social Democratic Party,5,4,3,Keep Schroder as chancellor,manual:germany-chancellor-2005,Historical chancellorship transition with incumbent alternative.
